1,UO_MX_SETUP : Setup Unit Operation Commenced
2,UO_MX_SETUP : Setup for PW
3,UO_MX_SETUP : Open valves on Mx to drain flow path.
4,UO_MX_SETUP : Start Vacuum
5,UO_MX_SETUP : Vacuum hold evacuation failed
6,UO_MX_SETUP : Start Vacuum Hold Timer
7,UO_MX_SETUP : Log operator repeat
8,UO_MX_SETUP : Log operator ABORT
9,Sequence reentry point
10,UO_MX_SETUP : Pressure logging
11,UO_MX_SETUP : Log actual time vacuum held.
12,UO_MX_SETUP : Vacuum Hold failed
13,UO_MX_SETUP : Log operator abort
14,UO_MX_SETUP : Log operator repeat
15,UO_MX_SETUP : Setup Unit Operation Completed
